phrase, score
in loving memory of samantha, 18
in loving memory of phyl, 18
in loving memory of amelia, 18
in loving memory of hector, 18
in loving memory of isobel, 18
in loving memory of jeanette, 18
in loving memory of former, 18
in loving memory of valerie, 18
in loving memory of elisabeth, 18
in loving memory of hannah, 18
in loving memory of isabel, 18
in loving memory of bruce, 18
in loving memory of aunty, 18
in loving memory of lillian, 18
in loving memory of hilary, 18
in loving memory of mom, 18
in loving memory of their, 18
in loving memory of percy, 18
in loving memory of lynda, 18
in loving memory of steve, 18
in loving memory of lisa, 18
in loving memory of aaron, 18
in loving memory of sally, 18
in loving memory of gregory, 18
in loving memory of winnie, 18
in loving memory of theresa, 18
in loving memory of greg, 18
in loving memory of suzanne, 18
in loving memory of olivia, 18
in loving memory of marilyn, 18
in loving memory of karl, 18
in loving memory of dan, 18
in loving memory of ralph, 18
in loving memory of rick, 18
in loving memory of nell, 18
in loving memory of penny, 18
in loving memory of ed, 18
in loving memory of jade, 18
in loving memory of ryan, 18
in loving memory of scott, 18
in loving memory of rev, 18
in loving memory of maxine, 18
in loving memory of jeff, 18
in loving memory of beatrice, 18
in loving memory of phillip, 18
in loving memory of cicely, 18
in loving memory of willie, 18
in loving memory of veronica, 18
in loving memory of jamie, 18
in loving memory of gill, 18
in loving memory of vivian, 18
in loving memory of miss, 18
in loving memory of t, 18
in loving memory of mervyn, 18
in loving memory of rex, 18
in loving memory of jason, 18
in loving memory of sonia, 18
in loving memory of theo, 18
in loving memory of parents, 18
in loving memory of wilfred, 18
in loving memory of rod, 18
in loving memory of lydia, 18
in loving memory of julia, 18
in loving memory of danny, 18
in loving memory of den, 18
in loving memory of father, 18
in loving memory of allen, 18
in loving memory of mother, 18
in loving memory of wilf, 18
in loving memory of louisa, 18
in loving memory of sybil, 18
in loving memory of monica, 18
in loving memory of lt, 18
in loving memory of jimmy, 18
in loving memory of guy, 18
in loving memory of lyndsey, 18
in loving memory of dean, 18
in loving memory of katie, 18
in loving memory of enid, 18
in loving memory of claire, 18
in loving memory of una, 18
in loving memory of arnold, 18
in loving memory of jeremy, 18
in loving memory of prof, 18
in loving memory by the, 18
in loving memory from family, 18
in loving and happy memory, 18
in loving and grateful remembrance, 18
in recognition of his services, 18
in the hearts of family, 18
in the year, 18
in the air and splendour, 18
in the city, 18
in the memories we keep, 18
in the service of others, 18
in the shade on a, 18
in the face of adversity, 18
in the arms of the, 18
in all our hearts forever, 18
in commemoration of the diamond, 18
in celebration of the golden, 18
in celebration of the millennium, 18
in his keeping we have, 18
in peace in memory of, 18
in peace from all your, 18
in your heart, 18
in your heart i'll stay, 18
in honoured and loving memory, 18
in appreciation of his work, 18
in appreciation of many happy, 18
in fond memory of ernie, 18
in love with, 18
in my heart until we, 18
in very loving memory of, 18
in 2007 to create new, 18
in cherished memory, 18
in leaf and the 2014, 18
memory of bill and margaret, 18
memory of a wonderful mum, 18
memory of a wonderful wife, 18
memory of a wonderful man, 18
memory of a wonderful lady, 18
memory of a great friend, 18
memory of a beloved brother, 18
memory of a dearest wife, 18
memory of a man who, 18
memory of a beautiful daughter, 18
memory of a loving son, 18
memory of our beautiful daughter, 18
memory of our beautiful son, 18
memory of our parents george, 18
memory of our son robert, 18
memory of our dear sister, 18
memory of our dear daughter, 18
memory of our dear dad, 18
memory of our dear friends, 18
memory of our dad and, 18
memory of our beloved brother, 18
memory of our beloved dad, 18
memory of our wonderful parents, 18
memory of our dearly loved, 18
memory of our dearly beloved, 18
memory of our darling daughter, 18
memory of robert and edith, 18
memory of nicola, 18
memory of my mum and, 18
memory of my darling wife, 18
memory of my husband john, 18
memory of my beloved parents, 18
memory of my beloved son, 18
memory of my dearest wife, 18
memory of my dearly loved, 18
memory of michael bertram wingate, 18
memory of the late mrs, 18
memory of the men of, 18
memory of the founding members, 18
memory of ken and joan, 18
memory of mary and george, 18
memory of bryan, 18
memory of c, 18
memory of frank and dorothy, 18
memory of fred and jean, 18
memory of tom and doris, 18
memory of peggy slater a, 18
memory of f, 18
memory of phil, 18
memory of molly, 18
memory of dora, 18
memory of major, 18
memory of dear mum and, 18
memory of tommy, 18
memory of h, 18
memory of maria, 18
memory of robin, 18
memory of louise, 18
memory of bruce, 18
memory of desmond, 18
memory of lionel, 18
memory of gerry, 18
memory of stewart, 18
memory of jo, 18
memory of jason, 18
memory of lewis, 18
memory of vince fitzsimons a, 18
memory of heber whittington a, 18
memory all the women and, 18
memory fall gently we gather, 18
memory a treasure, 18
memory that memory becomes a, 18
of a dear wife mum, 18
of a dear mum dad, 18
of a wonderful husband dad, 18
of a wonderful son and, 18
of a dearly loved husband, 18
of a very special person, 18
of a very special man, 18
of a very special lady, 18
of a loving husband and, 18
of a loving mum &, 18
of a much loved wife, 18
of the late mr &, 18
of the city of york, 18
of the league of friends, 18
of the garden, 18
of the many happy hours, 18
of the coronation of her, 18
of the london borough of, 18
of the founding members of, 18
of the happy times we, 18
of the 50th anniversary of, 18
of the best, 18
of the end of world, 18
of the green chain walk], 18
of the perry hall community, 18
of mr and, 18
of wales to lady diana, 18
of our dear parents john, 18
of our friend and colleague, 18
of our father, 18
of our lovely, 18
of our darling, 18
of robert william, 18
of robert william (bob) younger, 18
of my mum, 18
of my mum and dad, 18
of my dear wife marjorie, 18
of my dear wife joan, 18
of my dear husband james, 18
of my dear husband john, 18
of my loving, 18
of her parents, 18
of jean &, 18
of happy days, 18
of happy times spent here, 18
of charles and, 18
of joan &, 18
of bob and, 18
of all who love london, 18
of all who knew her, 18
of friends of radcliffe 1973, 18
of friends to celebrate 30, 18
of peggy slater a great, 18
of dear mum and dad, 18
of richard and, 18
of memory fall gently we, 18
of lichfield st chad for, 18
of narrow quay in commemoration, 18
of joyce and, 18
of support to queens hospital, 18
of glasgow botanic gardens 2002, 18
of west berks ramblers who, 18
of three benches at the, 18
of remembrance [under, 18
of ve day 8th may, 18
of aylsham in memory of, 18
of vince fitzsimons a stalwart, 18
of rochester upon medway city, 18
of brockwell park june 5th, 18
of heber whittington a native, 18
of crieff in leaf and, 18
of tudor city association inc, 18
of evesham parish church and, 18
- 1995 who, 18
- 1989 in memory of, 18
- 1999 forever in our, 18
- 1999 in loving memory, 18
- 2011 a much loved, 18
- 2011 who loved this, 18
- 2013 forever in our, 18
- 2013 who loved this, 18
- 2000 a, 18
- 2002 remembered with love, 18
- 1996 who, 18
- 2008 forever in our, 18
- 2008 in loving memory, 18
- 2005 a, 18
- 2006 who loved this, 18
- 2003 in, 18
- 2003 who enjoyed many, 18
- 1984 in loving memory, 18
- 2012 always in our, 18
- 2009 forever in our, 18
- 2004 who, 18
- 2004 forever in our, 18
- 2014 who loved this, 18
- 2015 in memory of, 18
- 2015 who loved this, 18
from the members & friends, 18
from his many friends in, 18
from his ever loving wife, 18
from their children and grandchildren, 18
from all of his friends, 18
from all her friends at, 18
from all her friends and, 18
from all the family in, 18
from your loving family x, 18
from a laughing fellow-rover and, 18
people of nottingham, 18
people erected by killamarsh parish, 18
to mark the 50th anniversary, 18
to the memory of dr, 18
to the memory of michael, 18
to the memory of mr, 18
to the memory of arthur, 18
to the memory of david, 18
to the memory of thomas, 18
to the memory of mary, 18
to the memory of ian, 18
to the everlasting memory of, 18
to the cherished memory of, 18
to the end, 18
to the beautiful memory of, 18
to the beloved memory of, 18
to commemorate the 90th birthday, 18
to commemorate the royal wedding, 18
to commemorate ve day 8th, 18
to sit and remember the, 18
to sit and remember good, 18
to sit here and watch, 18
to celebrate the 80th birthday, 18
to celebrate 30 years of, 18
to walk in these gardens, 18
to walk his, 18
to honour a dear brother, 18
to rest a while and, 18
to live in hearts we, 18
to a quiet place and, 18
to lose you but you, 18
to create new walking and, 18
to queens hospital 1980 -, 18
who loved this park so, 18
who loved this place &, 18
who loved it, 18
who loved to walk on, 18
who loved to walk along, 18
who loved to walk with, 18
who loved to walk her, 18
who loved to walk the, 18
who spent so, 18
who lived life, 18
who lived in this village, 18
who knew and, 18
who knew and loved this, 18
who knew and loved him, 18
who enjoyed many happy years, 18
who enjoyed many happy times, 18
who greatly enjoyed this park, 18
who gave us so much, 18
who worked in these gardens, 18
who died on 22nd march, 18
who passed away on 14th, 18
who passed away on the, 18
who passed away peacefully on, 18
who sit here, 18
who so loved this place, 18
who will be forever in, 18
who will always be remembered, 18
